rarity,name,image,mainid,sub,special,alt1,alt2
5,ボールドマーカー,sploosh_1.png,1,curling.webp,stamp.webp,ボールドマーカーネオ,non
4,ボールドマーカーネオ,sploosh_2.png,1,beacon.webp,wail.webp,ボールドマーカー,non
3,わかばシューター,jr_1.png,2,splat.webp,bubbler.webp,もみじシューター,non
5,もみじシューター,jr_2.png,2,torp.webp,wavebreaker.webp,わかばシューター,non
3,シャープマーカー,splash_1.png,3,burst.webp,crab.webp,シャープマーカーネオ,シャープマーカーGECK
1,シャープマーカーネオ,splash_2.png,3,suction.webp,strikes.webp,シャープマーカー,シャープマーカーGECK
1,シャープマーカーGECK,splash_3.png,3,mist.webp,inkstorm.webp,シャープマーカー,シャープマーカーネオ
5,プロモデラーMG,aerospray_1.png,4,fizzy.webp,slider.webp,プロモデラーRG,プロモデラー彩
4,プロモデラーRG,aerospray_2.png,4,sprinkler.webp,booyah.webp,プロモデラーMG,プロモデラー彩
5,プロモデラー彩,aerospray_3.png,4,burst.webp,screen.webp,プロモデラーMG,プロモデラーRG
1,スプラシューター,shot_1.png,5,suction.webp,zooka.webp,スプラシューターコラボ,スプラシューター煌
1,スプラシューターコラボ,shot_2.png,5,splat.webp,strikes.webp,スプラシューター,スプラシューター煌
4,スプラシューター煌,shot_3.png,5,burst.webp,kraken.webp,スプラシューター,スプラシューターコラボ
1,.52ガロン,52_1.png,6,wall.webp,wail.webp,.52ガロンデコ,non
3,.52ガロンデコ,52_2.png,6,curling.webp,screen.webp,.52ガロン,non
1,N-ZAP85,zap_1.png,7,suction.webp,cooler.webp,non-ZAP89,non
3,N-ZAP89,zap_2.png,7,auto.webp,chumps.webp,non-ZAP85,non
2,プライムシューター,pro_1.png,8,dart.webp,crab.webp,プライムシューターコラボ,プライムシューターFRZN
1,プライムシューターコラボ,pro_2.png,8,suction.webp,booyah.webp,プライムシューター,プライムシューターFRZN
2,プライムシューターFRZN,pro_3.png,8,splat.webp,missiles.webp,プライムシューター,プライムシューターコラボ
5,.96ガロン,96_1.png,9,sprinkler.webp,vac.webp,.96ガロンデコ,.96ガロン爪
3,.96ガロンデコ,96_2.png,9,wall.webp,kraken.webp,.96ガロン,.96ガロン爪
4,.96ガロン爪,96_3.png,9,dart.webp,cooler.webp,.96ガロン,.96ガロンデコ
3,ジェットスイーパー,jet_1.png,10,dart.webp,vac.webp,ジェットスイーパーカスタム,ジェットスイーパーCOBR
1,ジェットスイーパーカスタム,jet_2.png,10,mist.webp,inkstorm.webp,ジェットスイーパー,ジェットスイーパーCOBR
5,ジェットスイーパーCOBR,jet_3.png,10,burst.webp,splashdown.webp,ジェットスイーパー,ジェットスイーパーカスタム
5,スペースシューター,nova_1.png,11,sensor.webp,wail.webp,スペースシューターコラボ,non
5,スペースシューターコラボ,nova_2.png,11,mine.webp,inkjet.webp,スペースシューター,non
2,L3リールガン,l3_1.png,12,curling.webp,crab.webp,L3リールガンD,L3リールガン箔
4,L3リールガンD,l3_2.png,12,burst.webp,stamp.webp,L3リールガン,L3リールガン箔
3,L3リールガン箔,l3_3.png,12,splat.webp,inkjet.webp,L3リールガン,L3リールガンD
4,H3リールガン,h3_1.png,13,sensor.webp,cooler.webp,H3リールガンD,H3リールガンSNAK
2,H3リールガンD,h3_2.png,13,wall.webp,bubbler.webp,H3リールガン,H3リールガンSNAK
2,H3リールガンSNAK,h3_3.png,13,suction.webp,strikes.webp,H3リールガン,H3リールガンD
1,ボトルガイザー,squeezer_1.png,14,wall.webp,zooka.webp,ボトルガイザーフォイル,non
2,ボトルガイザーフォイル,squeezer_2.png,14,auto.webp,screen.webp,ボトルガイザー,non
3,カーボンローラー,carbon_1.png,15,auto.webp,zip.webp,カーボンローラーデコ,カーボンローラーANGL
3,カーボンローラーデコ,carbon_2.png,15,burst.webp,zooka.webp,カーボンローラー,カーボンローラーANGL
5,カーボンローラーANGL,carbon_3.png,15,fizzy.webp,chumps.webp,カーボンローラー,カーボンローラーデコ
3,スプラローラー,roller_1.png,16,curling.webp,bubbler.webp,スプラローラーコラボ,non
2,スプラローラーコラボ,roller_2.png,16,beacon.webp,kraken.webp,スプラローラー,non
4,ダイナモローラー,dynamo_1.png,17,sprinkler.webp,cooler.webp,ダイナモローラーテスラ,ダイナモローラー冥
2,ダイナモローラーテスラ,dynamo_2.png,17,splat.webp,chumps.webp,ダイナモローラー,ダイナモローラー冥
4,ダイナモローラー冥,dynamo_3.png,17,sensor.webp,wail.webp,ダイナモローラー,ダイナモローラーテスラ
1,ヴァリアブルローラー,flingza_1.png,18,mine.webp,missiles.webp,ヴァリアブルローラーフォイル,non
4,ヴァリアブルローラーフォイル,flingza_2.png,18,suction.webp,screen.webp,ヴァリアブルローラー,non
4,ワイドローラー,bigswig_1.png,19,wall.webp,vac.webp,ワイドローラーコラボ,ワイドローラー惑
5,ワイドローラーコラボ,bigswig_2.png,19,dart.webp,inkstorm.webp,ワイドローラー,ワイドローラー惑
5,ワイドローラー惑,bigswig_3.png,19,torp.webp,splashdown.webp,ワイドローラー,ワイドローラーコラボ
2,スクイックリンα,squiffer_1.png,20,sensor.webp,bubbler.webp,スクイックリンβ,non
5,スクイックリンβ,squiffer_2.png,20,auto.webp,zip.webp,スクイックリンα,non
2,スプラチャージャー,charger_1.png,21,splat.webp,vac.webp,スプラチャージャーコラボ,スプラチャージャーFRST
1,スプラチャージャーコラボ,charger_2.png,21,wall.webp,strikes.webp,スプラチャージャー,スプラチャージャーFRST
1,スプラチャージャーFRST,charger_3.png,21,sprinkler.webp,crab.webp,スプラチャージャー,スプラチャージャーコラボ
2,スプラスコープ,scope_1.png,22,splat.webp,vac.webp,スプラスコープコラボ,スプラスコープFRST
1,スプラスコープコラボ,scope_2.png,22,wall.webp,strikes.webp,スプラスコープ,スプラスコープFRST
1,スプラスコープFRST,scope_3.png,22,sprinkler.webp,crab.webp,スプラスコープ,スプラスコープコラボ
3,リッター4K,liter_1.png,23,mine.webp,wavebreaker.webp,リッター4Kカスタム,non
4,リッター4Kカスタム,liter_2.png,23,beacon.webp,kraken.webp,リッター4K,non
3,4Kスコープ,4kscope_1.png,24,mine.webp,wavebreaker.webp,4Kスコープカスタム,non
4,4Kスコープカスタム,4kscope_2.png,24,beacon.webp,kraken.webp,4Kスコープ,non
2,14式竹筒銃･甲,bamboo_1.png,25,auto.webp,wail.webp,14式竹筒銃･乙,non
4,14式竹筒銃･乙,bamboo_2.png,25,fizzy.webp,chumps.webp,14式竹筒銃･甲,non
4,ソイチューバー,gootuber_1.png,26,torp.webp,missiles.webp,ソイチューバーカスタム,non
5,ソイチューバーカスタム,gootuber_2.png,26,fizzy.webp,stamp.webp,ソイチューバー,non
1,R-PEN/5H,pen_1.png,27,sprinkler.webp,cooler.webp,R-PEN/5B,non
2,R-PEN/5B,pen_2.png,27,wall.webp,inkstorm.webp,R-PEN/5H,non
1,バケットスロッシャー,slosher_1.png,28,splat.webp,strikes.webp,バケットスロッシャーデコ,non
5,バケットスロッシャーデコ,slosher_2.png,28,dart.webp,zip.webp,バケットスロッシャー,non
1,ヒッセン,tri_1.png,29,mist.webp,inkjet.webp,ヒッセン･ヒュー,ヒッセンASH
2,ヒッセン･ヒュー,tri_2.png,29,fizzy.webp,cooler.webp,ヒッセン,ヒッセンASH
5,ヒッセンASH,tri_3.png,29,splat.webp,screen.webp,ヒッセン,ヒッセン･ヒュー
1,スクリュースロッシャー,machine_1.png,30,fizzy.webp,booyah.webp,スクリュースロッシャーネオ,non
2,スクリュースロッシャーネオ,machine_2.png,30,sensor.webp,zooka.webp,スクリュースロッシャー,non
4,オーバーフロッシャー,blob_1.png,31,sprinkler.webp,inkstorm.webp,オーバーフロッシャーデコ,non
5,オーバーフロッシャーデコ,blob_2.png,31,dart.webp,kraken.webp,オーバーフロッシャー,non
1,エクスプロッシャー,explo_1.png,32,sensor.webp,inkstorm.webp,エクスプロッシャーカスタム,non
5,エクスプロッシャーカスタム,explo_2.png,32,wall.webp,splashdown.webp,エクスプロッシャー,non
3,モップリン,dread_1.png,33,suction.webp,slider.webp,モップリンD,モップリン角
1,モップリンD,dread_2.png,33,beacon.webp,wavebreaker.webp,モップリン,モップリン角
2,モップリン角,dread_3.png,33,curling.webp,crab.webp,モップリン,モップリンD
3,スプラスピナー,mini_1.png,34,burst.webp,stamp.webp,スプラスピナーコラボ,スプラスピナーPYTN
1,スプラスピナーコラボ,mini_2.png,34,mist.webp,bubbler.webp,スプラスピナー,スプラスピナーPYTN
2,スプラスピナーPYTN,mini_3.png,34,beacon.webp,zooka.webp,スプラスピナー,スプラスピナーコラボ
1,バレルスピナー,heavy_1.png,35,sprinkler.webp,wavebreaker.webp,バレルスピナーデコ,non
2,バレルスピナーデコ,heavy_2.png,35,sensor.webp,kraken.webp,バレルスピナー,non
2,ハイドラント,hydra_1.png,36,auto.webp,booyah.webp,ハイドラントカスタム,ハイドラント圧
5,ハイドラントカスタム,hydra_2.png,36,mine.webp,screen.webp,ハイドラント,ハイドラント圧
1,ハイドラント圧,hydra_3.png,36,sprinkler.webp,bubbler.webp,ハイドラント,ハイドラントカスタム
2,クーゲルシュライバー,ballpoint_1.png,37,fizzy.webp,inkjet.webp,クーゲルシュライバー･ヒュー,non
5,クーゲルシュライバー･ヒュー,ballpoint_2.png,37,mine.webp,vac.webp,クーゲルシュライバー,non
1,ノーチラス47,naut_1.png,38,sensor.webp,inkstorm.webp,ノーチラス79,non
2,ノーチラス79,naut_2.png,38,suction.webp,splashdown.webp,ノーチラス47,non
2,イグザミナー,heavyedit_1.png,39,curling.webp,cooler.webp,イグザミナー･ヒュー,non
2,イグザミナー･ヒュー,heavyedit_2.png,39,splat.webp,crab.webp,イグザミナー,non
5,スパッタリー,dapple_1.png,40,beacon.webp,cooler.webp,スパッタリー･ヒュー,スパッタリーOWL
4,スパッタリー･ヒュー,dapple_2.png,40,torp.webp,slider.webp,スパッタリー,スパッタリーOWL
4,スパッタリーOWL,dapple_3.png,40,splat.webp,wail.webp,スパッタリー,スパッタリー･ヒュー
1,スプラマニューバー,dualie_1.png,41,suction.webp,crab.webp,スプラマニューバーコラボ,スプラマニューバー耀
3,スプラマニューバーコラボ,dualie_2.png,41,curling.webp,splashdown.webp,スプラマニューバー,スプラマニューバー耀
3,スプラマニューバー耀,dualie_3.png,41,fizzy.webp,bubbler.webp,スプラマニューバー,スプラマニューバーコラボ
3,ケルビン525,glooga_1.png,42,wall.webp,booyah.webp,ケルビン525デコ,non
4,ケルビン525デコ,glooga_2.png,42,sensor.webp,zooka.webp,ケルビン525,non
1,デュアルスイーパー,ds_1.png,43,splat.webp,wavebreaker.webp,デュアルスイーパーカスタム,デュアルスイーパー蹄
3,デュアルスイーパーカスタム,ds_2.png,43,beacon.webp,chumps.webp,デュアルスイーパー,デュアルスイーパー蹄
4,デュアルスイーパー蹄,ds_3.png,43,sensor.webp,screen.webp,デュアルスイーパー,デュアルスイーパーカスタム
3,クアッドホッパーブラック,tetra_1.png,44,auto.webp,slider.webp,クアッドホッパーホワイト,non
5,クアッドホッパーホワイト,tetra_2.png,44,sprinkler.webp,zip.webp,クアッドホッパーブラック,non
3,ガエンFF,douser_1.png,45,mine.webp,wail.webp,ガエンFFカスタム,non
4,ガエンFFカスタム,douser_2.png,45,burst.webp,strikes.webp,ガエンFF,non
2,パラシェルター,brella_1.png,46,sprinkler.webp,strikes.webp,パラシェルターソレーラ,non
3,パラシェルターソレーラ,brella_2.png,46,auto.webp,inkjet.webp,パラシェルター,non
4,キャンピングシェルター,tent_1.png,47,beacon.webp,vac.webp,キャンピングシェルターソレーラ,キャンピングシェルターCREM
3,キャンピングシェルターソレーラ,tent_2.png,47,mine.webp,zooka.webp,キャンピングシェルター,キャンピングシェルターCREM
2,キャンピングシェルターCREM,tent_3.png,47,mist.webp,chumps.webp,キャンピングシェルター,キャンピングシェルターソレーラ
5,スパイガジェット,undercover_1.png,48,mine.webp,slider.webp,スパイガジェットソレーラ,スパイガジェット繚
4,スパイガジェットソレーラ,undercover_2.png,48,torp.webp,screen.webp,スパイガジェット,スパイガジェット繚
5,スパイガジェット繚,undercover_3.png,48,curling.webp,wail.webp,スパイガジェット,スパイガジェットソレーラ
2,24式張替傘･甲,recycled_1.png,49,dart.webp,bubbler.webp,24式張替傘･乙,non
5,24式張替傘･乙,recycled_2.png,49,mist.webp,splashdown.webp,24式張替傘･甲,non
4,ノヴァブラスター,luna_1.png,50,splat.webp,zip.webp,ノヴァブラスターネオ,non
5,ノヴァブラスターネオ,luna_2.png,50,fizzy.webp,stamp.webp,ノヴァブラスター,non
1,ホットブラスター,blaster_1.png,51,auto.webp,bubbler.webp,ホットブラスターカスタム,ホットブラスター艶
2,ホットブラスターカスタム,blaster_2.png,51,sensor.webp,splashdown.webp,ホットブラスター,ホットブラスター艶
2,ホットブラスター艶,blaster_3.png,51,beacon.webp,crab.webp,ホットブラスター,ホットブラスターカスタム
2,ロングブラスター,range_1.png,52,suction.webp,wavebreaker.webp,ロングブラスターカスタム,non
4,ロングブラスターカスタム,range_2.png,52,splat.webp,kraken.webp,ロングブラスター,non
4,クラッシュブラスター,clash_1.png,53,splat.webp,zooka.webp,クラッシュブラスターネオ,non
5,クラッシュブラスターネオ,clash_2.png,53,curling.webp,chumps.webp,クラッシュブラスター,non
4,ラピッドブラスター,rapid_1.png,54,mine.webp,strikes.webp,ラピッドブラスターデコ,non
2,ラピッドブラスターデコ,rapid_2.png,54,torp.webp,inkjet.webp,ラピッドブラスター,non
1,Rブラスターエリート,rapidpro_1.png,55,mist.webp,vac.webp,Rブラスターエリートデコ,RブラスターエリートWNTR
